feature,importance
emb_377,0.00022866606
emb_207,0.00021954723
emb_112,0.00021285316
emb_59,0.00020856486
labs7d_plt_count_missing,0.00020673223
vital48h_gcs_last_missing,0.00020628535
emb_47,0.00020501022
emb_209,0.00020145316
dem_race_ASIAN,0.00020080544
emb_147,0.0002005782
emb_383,0.000196068
dem_race_OTHER,0.00019581738
emb_95,0.00019385936
vital48h_gcs_min_missing,0.00018861034
emb_259,0.00018562123
emb_358,0.0001738859
emb_257,0.00017336517
emb_99,0.00017184347
emb_114,0.00017171372
vital48h_tidal_volume_mean_missing,0.0001607798
vital48h_dbp_value_mean_missing,0.00015981402
emb_338,0.00013185419
dem_mar_WIDOWED,0.0001140927
vital48h_temperature_value_mean,0.00011069242
emb_269,0.000107768356
vital48h_cardiac_output_std_missing,0.00010145707
vital48h_gcs_count,9.717513e-05
labs7d_albumin_mean,9.6524265e-05
emb_142,8.5679494e-05
emb_13,7.12256e-05
emb_136,5.5381824e-05
dem_race_UNK,5.164174e-05
dem_mar_DIVORCED,4.829132e-05
fluid48h_output_urine_count,4.719629e-05
fluid6h_input_total_ml,4.692366e-05
emb_35,3.9414917e-05
fluid48h_output_urine_rate_ml_per_hr,2.7566548e-05
dem_race_HISPANIC,2.3048175e-05
emb_168,1.5561047e-05
fluid6h_input_rate_ml_per_hr,1.3726126e-05
labs7d_albumin_max,1.2863262e-05
dem_mar_UNK,1.2417026e-05
labs7d_albumin_std,3.9210304e-06
emb_43,1.08501775e-11
emb_119,6.9732926e-12
emb_118,0.0
emb_166,0.0
emb_60,0.0
emb_54,0.0
emb_18,0.0
emb_125,0.0
emb_169,0.0
emb_175,0.0
emb_17,0.0
emb_16,0.0
emb_97,0.0
emb_179,0.0
emb_20,0.0
emb_177,0.0
emb_176,0.0
emb_174,0.0
emb_19,0.0
emb_126,0.0
dem_mar_SEPARATED,0.0
dem_mar_OTHER,0.0
emb_21,0.0
emb_173,0.0
emb_172,0.0
emb_171,0.0
emb_170,0.0
